Foram extraídas 200 proto-frases.
145 proto-frases distintas, sendo:

8 vezes (4.0 %): café manhà meio-dia etc 
7 vezes (3.5 %): café manhã decente seriviço bar ídem 
1 vezes (0.5 %): café manhã pago parte bom conexão 
1 vezes (0.5 %): café manhã pago parte bom gostar 
1 vezes (0.5 %): café manhã pago parte bom localização 
1 vezes (0.5 %): café manhã pago parte bom vizinhança 
1 vezes (0.5 %): café manhã preço acessivel comparar outro 
1 vezes (0.5 %): café manhã preço atendimento funcionarios recepcao 
1 vezes (0.5 %): café manhã preço atendimento ótimo boteco 
1 vezes (0.5 %): café manhã preço obviamente excelente hotel 
1 vezes (0.5 %): café manhã preço razoável bom estadia 
1 vezes (0.5 %): café manhã sistema bufê meio dia 
1 vezes (0.5 %): café melhor custo beneficiar ainda compensar 
1 vezes (0.5 %): café melhor custo beneficiar rio janeiro 
1 vezes (0.5 %): café melhor fossar tempo atendimento cordial 
1 vezes (0.5 %): café melhor outro hoteis rede pôr 
1 vezes (0.5 %): café melhor outro loja bom hotel 
1 vezes (0.5 %): café melhor preço fazer check in 
1 vezes (0.5 %): café melhor preço fazer estar apenas 
1 vezes (0.5 %): café melhor procurar novo quarto sao 
1 vezes (0.5 %): café quarto 16 real opção fruta 
1 vezes (0.5 %): café quarto bastante razoável bom vizinhança 
1 vezes (0.5 %): café quarto bastante razoável café de+a 
1 vezes (0.5 %): café quarto funcionar bem conservar 
1 vezes (0.5 %): café quarto funcionar bem humorado 
1 vezes (0.5 %): café quarto novo localização 1 hora 
1 vezes (0.5 %): café quarto novo quarto deixa desejar 
1 vezes (0.5 %): café quarto sao confortável preço salgado 
1 vezes (0.5 %): café quarto sao confortável tamanho ok 
1 vezes (0.5 %): café quarto seguir padrão ibis copacabana 
1 vezes (0.5 %): café quarto seguir padrão rede café 
1 vezes (0.5 %): café quarto tipicamente ibis estao piorar 
1 vezes (0.5 %): café redondeza nao estar bem localizado 
1 vezes (0.5 %): café redondeza nao estar limpo tv 
1 vezes (0.5 %): café redondeza nao estar procurar outro 
1 vezes (0.5 %): café redondeza nao fornecer conforto quarto 
1 vezes (0.5 %): café redondeza nao imteresse atender cliente 
1 vezes (0.5 %): café simples bem cuidado região noite 
1 vezes (0.5 %): café simples bem localizado 2 quadra 
1 vezes (0.5 %): café simples bom hotel sempre taxi 
1 vezes (0.5 %): café simples confortável possibilidade meio caminho 
1 vezes (0.5 %): café simples confortável tamanho ok 
1 vezes (0.5 %): café simples limpo confortável outro dia 
1 vezes (0.5 %): café simples limpo oferecer propor rede 
1 vezes (0.5 %): café simples limpo oferecer ótimo localização 
